country_name,payout,prefix,iprn_proba
Trinidad and Tobago,0.04,1868,0.363636363636
Anguilla,0.04,1264,0.093023255814
Barbados,0.04,1246,0.190476190476
Saint Lucia,0.04,1758,0.444444444444
Saint Kitts and Nevis,0.04,1869,0.444444444444
Eritrea,0.04,291,0.266666666667
Burkina Faso,0.04,226,0.148148148148
Mali,0.04,223,0.615384615385
Benin,0.04,229,0.166666666667
Bosnia and Herzegovina,0.04,387,0.121212121212
British Virgin Islands,0.04,1284,0.363636363636
Togo,0.04,228,0.0610687022901
Antigua and Barbuda,0.04,1268,0.444444444444
Barbados,0.03,1246,0.142857142857
Oman,0.03,968,0.461538461538
Slovenia,0.025,386,0.555555555556
Mali,0.025,223,0.384615384615
Trinidad and Tobago,0.02,1868,0.181818181818
Slovenia,0.02,386,0.444444444444
Albania,0.02,355,1.0
Anguilla,0.02,1264,0.046511627907
Oman,0.02,968,0.307692307692
Montserrat,0.02,1664,0.16
Aruba,0.02,297,1.0
British Virgin Islands,0.02,1284,0.181818181818
Sri Lanka,0.02,94,1.0
Turks and Caicos Islands,0.02,1649,0.181818181818
Saint Vincent and the Grenadines,0.02,1784,1.0
Grenada,0.02,1473,0.181818181818
Guatemala,0.02,502,0.666666666667
Croatia,0.02,385,0.666666666667
Dominica,0.02,1767,1.0
Oman,0.015,968,0.230769230769
Croatia,0.01,385,0.333333333333
Guatemala,0.01,502,0.333333333333
Bosnia and Herzegovina,0.0,387,0.0
