country_name,prefix,country_gdp,operator_name,mno_subscribers_millions,operator_proba
Turkey,90,793.7,Vodafone,516,0.911660777385
Cyprus,357,19.65,MTN Group,232,0.321329639889
Pakistan,92,364.33,China Mobile,867,0.603760445682
Italy,39,1807.43,CK Hutchison,102,0.0834014717907
Hungary,36,125.3,Deutsche Telekom,165,0.193434935522
Belarus,375,54.69,MTS,109,0.685534591195
Chile,56,251.22,América Móvil,280,0.505415162455
Costa Rica,506,59.8,América Móvil,280,0.505415162455
Slovakia,421,364.33,Deutsche Telekom,165,0.443548387097
Botswana,267,15.56,Airtel,490,0.527448869752
Argentina,54,628.94,América Móvil,280,0.505415162455
Bangladesh,880,248.85,Axiata,101,0.197651663405
Faroe Islands,298,364.33,Vodafone,516,1.0
Afghanistan,93,20.57,Airtel,490,0.5561861521
Nigeria,234,400.62,Etisalat,159,0.180476730988
United States,1,19417.14,Sprint Corporation,59,0.174041297935
Hong Kong,852,364.33,CK Hutchison,102,0.105263157895
Iceland,354,22.97,Vodafone,516,1.0
Algeria,213,173.95,Veon,238,0.614987080103
Netherlands,31,762.69,Vodafone,516,0.757709251101
Puerto Rico,1787,99.73,América Móvil,280,0.438871473354
South Africa,27,317.57,STC,161,0.177117711771
Slovenia,386,43.5,América Móvil,280,1.0
Pakistan,92,364.33,Etisalat,159,0.110724233983
Kenya,254,75.1,Orange,207,0.296987087518
Oman,968,71.33,Ooredoo,149,1.0
Swaziland,268,3.94,MTN Group,232,1.0
Portugal,351,202.77,Vodafone,516,1.0
Malaysia,60,309.86,Maxis,102,0.190298507463
Puerto Rico,1787,99.73,Sprint Corporation,59,0.0924764890282
Norway,47,391.96,Telenor,172,1.0
Tanzania,255,51.19,Etisalat,159,0.24499229584
Yemen,967,27.19,MTN Group,232,1.0
Nigeria,234,400.62,Airtel,490,0.5561861521
Jordan,962,40.51,STC,161,0.4375
Netherlands,31,762.69,Deutsche Telekom,165,0.242290748899
Armenia,374,10.74,Veon,238,0.685878962536
Brazil,55,2140.94,Vodafone,516,0.443680137575
Guinea,224,6.94,MTN Group,232,0.249730893434
Italy,39,1807.43,Veon,238,0.194603434178
Malta,356,11.16,Vodafone,516,1.0
El Salvador,503,27.55,América Móvil,280,0.505415162455
Guinea,224,6.94,Airtel,490,0.527448869752
Malaysia,60,309.86,Axiata,101,0.188432835821
Ukraine,380,95.93,Vodafone,516,0.565169769989
Iran,98,368.49,MTN Group,232,0.294790343075
United Kingdom,44,2496.76,CK Hutchison,102,0.114349775785
Zimbabwe,263,15.29,Veon,238,1.0
Poland,48,482.92,Orange,207,0.556451612903
Bangladesh,880,248.85,Veon,238,0.465753424658
India,91,2454.46,BSNL,107,0.047053649956
Pakistan,92,364.33,Veon,238,0.16573816156
Zambia,260,23.14,Airtel,490,0.678670360111
Tanzania,255,51.19,Airtel,490,0.75500770416
Benin,229,8.79,MTN Group,232,0.263337116913
Colombia,57,306.44,América Móvil,280,0.505415162455
Slovakia,421,364.33,Orange,207,0.556451612903
United Arab Emirates,971,407.21,Etisalat,159,1.0
Jordan,962,40.51,Orange,207,0.5625
United Kingdom,44,2496.76,Vodafone,516,0.578475336323
Hungary,36,125.3,Telenor,172,0.20164126612
Bulgaria,359,52.29,Telenor,172,1.0
France,33,2420.44,Orange,207,1.0
Malaysia,60,309.86,Telenor,172,0.320895522388
Greece,30,193.1,Vodafone,516,0.757709251101
Germany,49,3423.29,Vodafone,516,0.540314136126
Kazakhstan,76,157.88,Veon,238,0.826388888889
Nicaragua,505,13.75,América Móvil,280,0.505415162455
San Marino,378,1.55,TIM,93,1.0
Philippines,63,329.72,Globe Telecom,63,0.504
Central African Republic,236,1.99,Orange,207,0.565573770492
Ivory Coast,225,364.33,Orange,207,0.565573770492
Sudan,249,115.87,Telefónica,274,0.412030075188
Cameroon,237,29.55,Airtel,490,0.527448869752
Niger,227,7.67,Airtel,490,0.572429906542
Brazil,55,2140.94,Telefónica,274,0.235597592433
Uzbekistan,998,68.32,MTS,109,0.314121037464
Denmark,45,304.22,CK Hutchison,102,0.372262773723
Peru,51,207.07,América Móvil,280,0.505415162455
Spain,34,1232.44,Telefónica,274,0.27482447342
Ireland,353,294.19,CK Hutchison,102,0.165048543689
Romania,40,189.79,Orange,207,0.286307053942
Kazakhstan,76,157.88,Telia Company,50,0.173611111111
Tunisia,216,40.29,Orange,207,0.581460674157
Romania,40,189.79,Vodafone,516,0.713692946058
Colombia,57,306.44,Telefónica,274,0.494584837545
Nepal,977,23.32,Axiata,101,1.0
India,91,2454.46,Telenor,172,0.07563764292
Niger,227,7.67,Etisalat,159,0.185747663551
India,91,2454.46,STC,161,0.070800351803
Guinea,224,6.94,Orange,207,0.222820236814
Chad,235,9.64,Airtel,490,1.0
Gabon,241,14.21,Etisalat,159,0.24499229584
Dominican Republic,1809,76.85,América Móvil,280,0.574948665298
United Kingdom,44,2496.76,Telefónica,274,0.307174887892
Guinea-Bissau,245,1.17,MTN Group,232,0.249730893434
Nigeria,234,400.62,MTN Group,232,0.263337116913
Qatar,974,173.65,Ooredoo,149,0.224060150376
Malaysia,60,309.86,STC,161,0.300373134328
Moldova,373,7.41,Orange,207,0.805447470817
Panama,507,59.49,Telefónica,274,0.494584837545
Austria,43,383.51,CK Hutchison,102,0.18647166362
Ivory Coast,225,364.33,Etisalat,159,0.434426229508
Hong Kong,852,364.33,China Mobile,867,0.894736842105
Guernsey,44,364.33,Airtel,490,1.0
Turkey,90,793.7,Telia Company,50,0.0883392226148
Cyprus,357,19.65,Airtel,490,0.678670360111
Tajikistan,992,7.24,MegaFon,77,0.244444444444
Thailand,66,432.9,Telenor,172,0.159259259259
United States,1,19417.14,AT&T Mobility,134,0.395280235988
Ukraine,380,95.93,MTS,109,0.119386637459
Brazil,55,2140.94,América Móvil,280,0.240756663801
Indonesia,62,1020.52,Telkomsel,174,0.205673758865
South Africa,27,317.57,Vodafone,516,0.567656765677
Armenia,374,10.74,MTS,109,0.314121037464
